Depcom	affichage	atteinte cible	Rep_hab graph	Rep_hab	Reste (num)	Nom Com Dep	Nom Commune	Latitude	Longitude	cible	nb rep 2019 cyclistes	Number of Records	Population	Unité affichage
98818	3.692732622	0.369273262	3.692732622	3.692732622	0	Nouméa-98	Nouméa	-22.3501	166.8988	999.26	316	369	99926	réponses par habitant
98817	0.073651261	0.007365126	0.073651261	0.073651261	50	Le Mont-Dore-98	Le Mont-Dore			271.55	0	2	27155	réponses par habitant
98805	0.282912109	0.028291211	0.282912109	0.282912109	42	Dumbéa-98	Dumbéa	-22.1676665	166.4580117	318.12	8	9	31812	réponses par habitant
97611	0.419991600	0.041999160	0.419991600	0.419991600	48	Mamoudzou-97	Mamoudzou	-12.789997959	45.193245603	71.43	2	3	7143	réponses par habitant
97423	0.2	0.014062720	0.2	0.140627197	49	Les Trois-Bassins-97	Les Trois-Bassins		55.329752287	71.11	1	1	7111	réponses par habitant
97422	0.168212932	0.016821293	0.168212932	0.168212932	39	Le Tampon-97	Le Tampon		55.558487527	772.83	11	13	77283	réponses par habitant
97420	0.129176714	0.012917671	0.129176714	0.129176714	48	Sainte-Suzanne-97	Sainte-Suzanne	-20.945734052	55.592779082	232.24	2	3	23224	réponses par habitant
97419	0.2	0.015337423	0.2	0.153374233	49	Sainte-Rose-97	Sainte-Rose		55.754522472	65.2	1	1	6520	réponses par habitant
97418	0.422195416	0.042219542	0.422195416	0.422195416	36	Sainte-Marie-97	Sainte-Marie	-20.947058851	55.530355586	331.6	14	14	33160	réponses par habitant
97416	0.926706982	0.092670698	0.926706982	0.926706982	0	Saint-Pierre-97	Saint-Pierre	-21.312324243	55.493615516	841.69	70	78	84169	réponses par habitant
97415	0.995430500	0.099543050	0.995430500	0.995430500	0	Saint-Paul-97	Saint-Paul	-21.044531752	55.322333430	1054.82	90	105	105482	réponses par habitant
97414	0.075159714	0.007515971	0.075159714	0.075159714	46	Saint-Louis-97	Saint-Louis		55.421338869	532.2	4	4	53220	réponses par habitant
97413	0.237409858	0.023740986	0.237409858	0.237409858	44	Saint-Leu-97	Saint-Leu		55.333133578	336.97	6	8	33697	réponses par habitant
97412	0.159451487	0.015945149	0.159451487	0.159451487	45	Saint-Joseph-97	Saint-Joseph	-21.306355044	55.642068651	376.29	5	6	37629	réponses par habitant
97411	1.122228231	0.112222823	1.122228231	1.122228231	0	Saint-Denis-97	Saint-Denis	-20.932970819	55.446867167	1479.2	143	166	147920	réponses par habitant
97410	0.131089088	0.013108909	0.131089088	0.131089088	46	Saint-Benoît-97	Saint-Benoît	-21.091866280	55.649416859	381.42	4	5	38142	réponses par habitant
97409	0.071906234	0.007190623	0.071906234	0.071906234	46	Saint-André-97	Saint-André		55.642732879	556.28	4	4	55628	réponses par habitant
97408	0.272950596	0.027295060	0.272950596	0.272950596	45	La Possession-97	La Possession		55.397508499	329.73	5	9	32973	réponses par habitant
97407	0.086182132	0.008618213	0.086182132	0.086182132	47	Le Port-97	Le Port		55.305326715	348.1	3	3	34810	réponses par habitant
